timestamp,device_id,voltage,current_low,current_high,power_low,power_high,energy_low,energy_high,frequency,power_factor,alarm_status
2024-10-09T15:46:31.922Z,Monitoring11,230.6000061,0.026000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:32.000Z,Monitoring11,230.6000061,0.026000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:32.105Z,Monitoring11,230.6000061,0.026000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:32.206Z,Monitoring11,230.6000061,0.026000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:32.311Z,Monitoring11,230.6000061,0.026000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:32.411Z,Monitoring11,230.6000061,0.026000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:32.516Z,Monitoring11,230.6000061,0.026000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:32.616Z,Monitoring11,230.6000061,0.026000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:32.722Z,Monitoring11,230.6000061,0.026000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:32.822Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:32.927Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:33.000Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:33.100Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:33.206Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:33.306Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:33.411Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:33.511Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:33.616Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:33.716Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:33.822Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:33.922Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:34.000Z,Monitoring11,230.6999969,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:34.105Z,Monitoring11,230.6999969,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:34.206Z,Monitoring11,230.6999969,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:34.311Z,Monitoring11,230.6999969,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:34.411Z,Monitoring11,230.6999969,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:34.516Z,Monitoring11,230.6999969,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:34.616Z,Monitoring11,230.6999969,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:34.721Z,Monitoring11,230.6999969,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:34.821Z,Monitoring11,230.6999969,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:35.000Z,Monitoring11,230.6999969,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:35.100Z,Monitoring11,230.6999969,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:35.200Z,Monitoring11,230.6999969,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:35.305Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:35.405Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:35.511Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:35.611Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:35.715Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:35.816Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:35.921Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:36.000Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,50,0,0
2024-10-09T15:46:36.104Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,49.90000153,0,0
2024-10-09T15:46:36.204Z,Monitoring11,230.6000061,0.027000001,0,0,0,58019,48,49.90000153,0,0
